city,street,house_number,neighbourhood,lat,lng
ירושלים,אבא אבן,1,שכונת קרית הלאום,31.786000,35.205905
ירושלים,זבולון המר,10,שכונת קרית הלאום,31.786390,35.204859
ירושלים,אבא אבן,6,שכונת קרית הלאום,31.785720,35.205222
ירושלים,אבא אבן,8,שכונת קרית הלאום,31.785216,35.204912
ירושלים,אבא ברדיצ'ב,8,שכונת הגבעה הצרפתית - גבעת שפירא,31.805640,35.241567
ירושלים,אבא חלקיה,5,שכונת קטמון הישנה,31.759767,35.209382
ירושלים,אבא חלקיה,7,שכונת קטמון הישנה,31.759969,35.209406
ירושלים,אבא חלקיה,2,שכונת קטמונים,31.759428,35.209662
ירושלים,אבא חלקיה,4,שכונת קטמון הישנה,31.760067,35.209883
ירושלים,אבא חלקיה,3,שכונת קטמון הישנה,31.759471,35.209248
ירושלים,אבא חלקיה,9,שכונת קטמון הישנה,31.760102,35.209492
ירושלים,אבא חלקיה,8,שכונת קטמון הישנה,31.760637,35.209626
ירושלים,אבא חלקיה,17,שכונת קטמון הישנה,31.760633,35.209109
ירושלים,אבו רביע,18,,31.747543,35.239275
ירושלים,אבטליון,9,שכונת גאולים-בקעה,31.759813,35.223309
ירושלים,אבטליון,5,שכונת גאולים-בקעה,31.760036,35.222773
ירושלים,אבטליון,7,שכונת גאולים-בקעה,31.759937,35.222990
ירושלים,אבטליון,6,שכונת גאולים-בקעה,31.759871,35.222620
ירושלים,שאול אביגור,16,שכונת חומת שמואל-הר חומה,31.722913,35.219847
ירושלים,שאול אביגור,14,שכונת חומת שמואל-הר חומה,31.722948,35.219595
ירושלים,שאול אביגור,21,שכונת חומת שמואל-הר חומה,31.725057,35.222364
ירושלים,שאול אביגור,40,שכונת חומת שמואל-הר חומה,31.724681,35.223019
ירושלים,שאול אביגור,24,שכונת חומת שמואל-הר חומה,31.723331,35.221040
ירושלים,שאול אביגור,11,שכונת חומת שמואל-הר חומה,31.723142,35.219794
ירושלים,שאול אביגור,18,שכונת חומת שמואל-הר חומה,31.722940,35.220087
ירושלים,אביגור,38,שכונת חומת שמואל-הר חומה,31.724722,35.222786
ירושלים,שאול אביגור,22,שכונת חומת שמואל-הר חומה,31.723094,35.220764
ירושלים,שאול אביגור,23,שכונת חומת שמואל-הר חומה,31.725015,35.222584
ירושלים,שאול אביגור,19,שכונת חומת שמואל-הר חומה,31.724399,35.220980
ירושלים,אביגור,36,שכונת חומת שמואל-הר חומה,31.724746,35.222535
ירושלים,שאול אביגור,28,שכונת חומת שמואל-הר חומה,31.723923,35.221181
ירושלים,אביגור,42,שכונת חומת שמואל-הר חומה,31.724661,35.223313
ירושלים,שאול אביגור,20,שכונת חומת שמואל-הר חומה,31.723008,35.220374
ירושלים,שאול אביגור,26,שכונת חומת שמואל-הר חומה,31.723651,35.221101
ירושלים,אביגיל,6,שכונת גבעת חנניה - אבו תור,31.764846,35.228146
ירושלים,אביגיל,4,שכונת גבעת חנניה - אבו תור,31.764907,35.227872
ירושלים,יוסף אבידר,8,שכונת גבעת משואה,31.749748,35.172574
ירושלים,יוסף אבידר,10,שכונת גבעת משואה,31.749839,35.172404
ירושלים,יוסף אבידר,9,שכונת גבעת משואה,31.749914,35.171987
ירושלים,יוסף אבידר,5,שכונת גבעת משואה,31.749787,35.172210
ירושלים,יוסף אבידר,2,שכונת גבעת משואה,31.749443,35.172650
ירושלים,אביזוהר,6,שכונת בית הכרם,31.775756,35.188291
ירושלים,אביזוהר,2,שכונת בית הכרם,31.776046,35.189040
ירושלים,אביזוהר,4,שכונת בית הכרם,31.775886,35.188688
ירושלים,אביטל,9,שכונת מקור חיים,31.751623,35.211571
ירושלים,אביטל,4,שכונת מקור חיים,31.752063,35.211366
ירושלים,אביטל,11,שכונת מקור חיים,31.751480,35.211488
ירושלים,אביטל,10,שכונת מקור חיים,31.751340,35.211104
ירושלים,אביטל,13,שכונת מקור חיים,31.751263,35.211382
ירושלים,אביטל,2,שכונת מקור חיים,31.752381,35.211435
ירושלים,אביטל,8,שכונת מקור חיים,31.751714,35.210992
ירושלים,אבינדב,9,שכונת הבוכרים,31.794063,35.219614
ירושלים,אבינדב,1,שכונת הבוכרים,31.793631,35.220372
ירושלים,אבינדב,18,שכונת הבוכרים,31.794437,35.219664
ירושלים,אבינדב,15,שכונת הבוכרים,31.794337,35.219088
ירושלים,אבינדב,3,שכונת הבוכרים,31.793713,35.220184
ירושלים,אבינדב,12,שכונת הבוכרים,31.793946,35.220298
ירושלים,אבינדב,24,שכונת הבוכרים,31.794859,35.219106
ירושלים,אבינדב,5,שכונת הבוכרים,31.793905,35.220023
ירושלים,אבינדב,16,שכונת הבוכרים,31.794250,35.219908
ירושלים,אבינדב,10,שכונת הבוכרים,31.793857,35.220459
ירושלים,אבינדב,22,שכונת הבוכרים,31.794643,35.219367
ירושלים,אבינועם ילין,3,שכונת גאולה,31.790110,35.219620
ירושלים,אביעד,10,שכונת גבעת מרדכי,31.763055,35.197143
ירושלים,אביעד,18,שכונת גבעת מרדכי,31.763566,35.196914
ירושלים,אביעד,5,שכונת גבעת מרדכי,31.762768,35.196824
ירושלים,אביעד,12,שכונת גבעת מרדכי,31.763248,35.197464
ירושלים,אביעד,9,שכונת גבעת מרדכי,31.763187,35.196516
ירושלים,אביעד,3,שכונת גבעת מרדכי,31.762536,35.196890
ירושלים,אביעד,16,שכונת גבעת מרדכי,31.763642,35.197237
ירושלים,אביעד,7,שכונת גבעת מרדכי,31.763032,35.196637
ירושלים,אביעזר,5,שכונת רמות,31.815056,35.193463
ירושלים,אביעזר,1,שכונת רמות,31.814870,35.193484
ירושלים,אביעזר,12,שכונת רמות,31.815468,35.193499
ירושלים,אבישי,3,שכונת המושבה היוונית,31.761994,35.217083
ירושלים,אבישי,2,שכונת המושבה היוונית,31.762053,35.217428
ירושלים,אבישר,11,שכונת מקור ברוך,31.785749,35.210862
ירושלים,אביתר הכהן,6,שכונת הבוכרים,31.794168,35.218121
ירושלים,ולטר אבלס,6,שכונת תלפיות,31.753891,35.221819
ירושלים,אבן האזל,19,שכונת עזרת תורה,31.796528,35.213328
ירושלים,אבן האזל,7,שכונת עזרת תורה,31.794879,35.212716
ירושלים,אבן האזל,13,שכונת עזרת תורה,31.795657,35.212990
ירושלים,אבן האזל,21,שכונת עזרת תורה,31.796815,35.213346
ירושלים,אבן האזל,1,שכונת עזרת תורה,31.794441,35.212359
ירושלים,אבן האזל,15,שכונת עזרת תורה,31.795912,35.213071
ירושלים,אבן האזל,5,שכונת עזרת תורה,31.794673,35.212642
ירושלים,אבן האזל,3,שכונת עזרת תורה,31.794706,35.212584
ירושלים,אבן האזל,14,"שכונת שיכון חב""ד",31.795974,35.213503
ירושלים,אבן האזל,9,שכונת עזרת תורה,31.795147,35.212817
